Abstract The modification of lutetium hydroxide on a layered double hydroxide (LDH), [Ni4Al(OH)10]NO3, is carried out by coprecipitation and thereafter hydrothermal treatment. When the content of Lu is less, only X-ray diffractions (XRD) due to [Ni4Al(OH)10]NO3 are found. When the content is 2.89 wt�r more in the product, a series of low-intensity diffractions is identified, which can be indexed with a triclinic cell, space group P1¯ $$ P\overline{1} $$. After the modification, the a lattice parameter for Ni-Al layered double hydroxide does not show any considerable changes, which means Lu3  could not be incorporated into M(OH)2 (M=Ni, Al) layers because of its larger ion radius (85 pm). According to the observations by scanning electron microscopy (SEM) or transmission electron microscopy (TEM), with low Lu content, single nanorods appear among the disks of [Ni4Al(OH)10]NO3 and turn into bundles with high Lu content. The modification of Lu prevents the structural transformation of the Ni-Al LDH into β-Ni(OH)2. It can be found that the transformation is stopped by 0.9 wt�u when being soaked in 7.0 mol L−1 potassium hydroxide (KOH) for 72 days at 60 °C, or by 1.29 wt�u after the 25th charging/discharging cycle at 60 °C in the same alkali solution. The modification also improves the high-temperature performances of the electrode. At a high temperature of 60 °C, the 2.89 wt�u-modified [Ni4Al(OH)10]NO3 has a more slowly reduced capacity of 265.8 mAh g−1 after 25 charge/discharge cycles under a current density of 800 mA g-1 in 7.0 mol L−1 KOH, while the [Ni4Al(OH)10]NO3 has a sharply reduced capacity of 202.7 mAh g−1 under the same condition.
diffractions        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diffraction           

layered double hydroxide      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Layered_double_hydroxides

X-ray                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_crystallography 

XRD                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_crystallography 

Lu                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lutetium              

NO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

cell                          0.9999989641451883^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_(biology)        

OH                            0.9999999999536158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydroxide             

OH                            0.9999999999536158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydroxide             

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

triclinic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Triclinic_crystal_system

Lu                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lutetium              

temperature                   0.9999568257963173^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

coprecipitation               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coprecipitation       

mA                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ampere                

mAh                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ampere-hour           

space group                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Space_group           

hydrothermal                  0.999962462314823^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Hydrothermal_circulation

alkali                        0.9974086261824787^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Alkali_metal          

lattice parameter             0.9999911119975232^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crystal_structure     

Lu                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lutetium              

OH                            0.9999999999536158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydroxide             

lutetium                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lutetium              

OH                            0.9999999999536158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydroxide             

layered double hydroxide      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Layered_double_hydroxides

radius                        0.9999999027340939^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Atomic_radius         

Lu                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lutetium              

P1                            0.8863255362606838^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Adenosine_receptor    

SEM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scanning_electron_microscope

NO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

mAh                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ampere-hour           

LDH                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lactate_dehydrogenase 

NO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

transmission electron microscopy1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transmission_electron_microscopy

electrode                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electrode             

diffractions                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diffraction           

scanning electron microscopy  0.999999999994543^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Scanning_electron_microscope

TEM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transmission_electron_microscopy

LDH                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lactate_dehydrogenase 

current density               0.9999999990905053^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electric_current      

OH                            0.9999999999536158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydroxide             

potassium hydroxide           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Potassium_hydroxide   

Ni                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nickel                

single                        0.993421305760657^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Single_bond           

NO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

discharge                     0.9999279228094887^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrostatic_discharge

hydroxide                     0.9987108999253471^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydroxide             

OH                            0.9999999999536158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydroxide             

overline                      0.9999999718047552^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Overline              

NO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

nanorods                      0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanorod               

OH                            0.9999999999536158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydroxide             

