Summary Intimate intergrowths of ferrotantalite and ferrotapiolite occur in a pegmatite in Spittal a.d. Drau, Carinthia. They are associated with muscovite, albite, smoky quartz, cassiterite, and microscopic uranmicrolite, zircon and uraninite. An assemblage of secondary uranium minerals is also present, generated by extensive alteration and leaching of the uranmicrolite and zircon. Textures of the ferrotantalite-ferrotapiolite intergrowths suggest considerable recrystallization that obliterated most of their primary features; neither coprecipitation nor exsolution can be recognized with certainty. Despite intersecting tielines indicating disequilibrium, the ferrotantalite and ferrotapiolite compositions show very restricted ranges (Mn/(Mn   Fe) 0.08–0.11, Ta/(Ta   Nb) 0.53–0.57 for ferrotantalite, and 0.01–0.04, 0.84–0.89 for ferrotapiolite, respectively), particularly in comparison with compositions from other localities featuring primary textures. A degree of compositional equilibration could have been attained during recrystallization. This process may also explain the high level of structural order characterizing both minerals; they are considerably disordered in other localities. Extensive deformation typical of pegmatites in the southern Ostalpen in general, and specifically of the Spittal pegmatite, is probably responsible for the recrystallization phenomena in the Ta, Nb, Sn-bearing mineral assemblage.
uranium             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Uranium               

recrystallization             0.9999999997437499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crystal               

assemblage                    0.5643533593181193^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Assemblage_(archaeology)

minerals                      0.9999989420963313^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mineral               

Mn                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Manganese             

Spittal                       0.9999999990218384^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spittal_an_der_Drau   

deformation                   0.9999999954211489^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deformation_(engineering)

pegmatites                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pegmatite             

zircon                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zircon                

Textures                      0.9988784487736825^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Texture_mapping       

recrystallization             0.9999999997437499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crystal               

microscopic                   0.6382992775388694^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microscopic_scale     

mineral                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mineral               

assemblage                    0.5643533593181193^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Assemblage_(archaeology)

Spittal                       0.9999999990218384^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spittal_an_der_Drau   

cassiterite                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cassiterite           

Mn                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Manganese             

minerals                      0.9999989420963313^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mineral               

Carinthia                     0.9999229758693337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carinthia_(state)     

zircon                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zircon                

albite                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Albite                

Nb                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Niobium               

exsolution                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Solid_solution        

coprecipitation               0.9999999999986358^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coprecipitation       

recrystallization             0.9999999997437499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crystal               

smoky quartz                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Smoky_quartz          

muscovite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Muscovite             

Fe                            0.999999999789452^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Iron                  

Nb                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Niobium               

pegmatite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pegmatite             

textures                      0.8281835828400962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Texture_(geology)     

disequilibrium                0.9980141275169522^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thermodynamic_equilibrium

pegmatite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pegmatite             

Drau                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Drava                 

uraninite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Uraninite             

