Abstract Statistical discoveries are often obtained through multiple hypothesis testing. A variety of procedures exists to evaluate multiple hypotheses, for instance the ones of Benjamini–Hochberg, Bonferroni, Holm or Sidak. We are particularly interested in multiple testing procedures with two desired properties: (solely) monotonic and well-behaved procedures. This article investigates to which extent the classes of (monotonic or well-behaved) multiple testing procedures, in particular the subclasses of so-called step-up and step-down procedures, are closed under basic set operations, specifically the union, intersection, difference and the complement of sets of rejected or non-rejected hypotheses. The present article proves two main results: First, taking the union or intersection of arbitrary (monotonic or well-behaved) multiple testing procedures results in new procedures which are monotonic but not well-behaved, whereas the complement or difference generally preserves neither property. Second, the two classes of (solely monotonic or well-behaved) step-up and step-down procedures are closed under taking the union or intersection, but not the complement or difference.
subclasses          0.9999678630590921^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Class_(set_theory)    

well-behaved                  0.9999999995571898^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Well-behaved          

set operations                0.9999999999598685^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Set_theory            

monotonic                     0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Monotonic_function    

well-behaved                  0.9999999995571898^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Well-behaved          

intersection                  0.8893017198788046^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Set_(mathematics)     

multiple testing              0.9999983096361764^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Multiple_comparisons_problem

well-behaved                  0.9999999995571898^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Well-behaved          

monotonic                     0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Monotonic_function    

monotonic                     0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Monotonic_function    

Bonferroni                    0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holm–Bonferroni_method

monotonic                     0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Monotonic_function    

complement                    0.9839514078277523^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lattice_(order)       

multiple hypothesis testing   0.9999999999724878^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Multiple_comparisons_problem

complement                    0.9839514078277523^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lattice_(order)       

monotonic                     0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Monotonic_function    

multiple testing              0.9999983096361764^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Multiple_comparisons_problem

hypotheses                    0.9999857795682356^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Statistical_hypothesis_testing

multiple testing              0.9999983096361764^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Multiple_comparisons_problem

well-behaved                  0.9999999995571898^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Well-behaved          

intersection                  0.8893017198788046^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Set_(mathematics)     

complement                    0.9839514078277523^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lattice_(order)       

intersection                  0.8893017198788046^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Set_(mathematics)     

well-behaved                  0.9999999995571898^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Well-behaved          

hypotheses                    0.9999857795682356^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Statistical_hypothesis_testing

