Abstract This study compares the Isis II satellite measurements of the electron density and temperature, the integral airglow intensity and volume emission rate at 630 nm in the SAR arc region, observed at dusk on 4 August, 1972, in the Southern Hemisphere, during the main phase of the geomagnetic storm. The model results were obtained using the time dependent one-dimensional mathematical model of the Earth’s ionosphere and plasmasphere (the IZMIRAN model). The major enhancement to the IZMIRAN model developed in this study to explain the two component 630 nm emission observed is the analytical yield spectrum approach to calculate the fluxes of precipitating electrons and the additional production rates of N 2, O 2, O (4S), O (2D), O−(2P), and O (2P) ions, and O(1D) in the SAR arc regions in the Northern and Southern Hemispheres. In order to bring the measured and modelled electron temperatures into agreement, the additional heating electron rate of 1.05 eV cm−3 s−1 was added in the energy balance equation of electrons at altitudes above 5000 km during the main phase of the geomagnetic storm. This additional heating electron rate determines the thermally excited 630 nm emission observed. The IZMIRAN model calculates a 630 nm integral intensity above 350 km of 4.1 kR and a total 630 nm integral intensity of 8.1 kR, values which are slightly lower compared to the observed 4.7 kR and 10.6 kR. We conclude that the 630 nm emission observed can be explained considering both the soft energy electron excited component and the thermally excited component. It is found that the inclusion of N2(v > 0) and O2(v > 0) in the calculations of the O (4S) loss rate improves the agreement between the calculated Ne and the data on 4 August, 1972. The N2(v > 0) and O2(v > 0) effects are enough to explain the electron density depression in the SAR arc F-region and above F2 peak altitude. Our calculations show that the increase in the O    N2 rate factor due to the vibrationally excited nitrogen produces the 5–19�eductions in the calculated quiet daytime peak density and the 16–24�ecrease in NmF2 in the SAR arc region. The increase in the O    N2 loss rate due to vibrationally excited O2 produces the 7–26�ecrease in the calculated quiet daytime peak density and the 12–26�ecrease in NmF2 in the SAR arc region. We evaluated the role of the electron cooling rates by low-lying electronic excitation of O2(a1δg) and O2(b1σg ), and rotational excitation of O2, and found that the effect of these cooling rates on T e can be considered negligible during the quiet and geomagnetic storm period 3–4 August, 1972. The energy exchange between electron and ion gases, the cooling rate in collisions of O(3P) with thermal electrons with excitation of O(1D), and the electron cooling rates by vibrational excitation of O2 and N2 are the largest cooling rates above 200 km in the SAR arc region on 4 August, 1972. The enhanced IZMIRAN model calculates also number densities of N2(B3πg ), N2(C3πu), and N2(A3σu ) at several vibrational levels, O(1S), and the volume emission rate and integral intensity at 557.7 nm in the region between 120 and 1000 km. We found from the model that the integral integral intensity at 557.7 nm is much less than the integral intensity at 630 nm.
(4S)                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Upsilon_meson         

energy balance                0.6885325465768224^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/First_law_of_thermodynamics

N2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

O2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

F2                            0.9999999999809006^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ionosphere            

electron cooling              0.9999999997573923^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron_cooling      

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

energy                        0.9999998061519096^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

SAR                           0.9671986833965229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Specific_absorption_rate

N2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

IZMIRAN                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/IZMIRAN               

electron density              0.9999999999326974^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron_density      

SAR                           0.9671986833965229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Specific_absorption_rate

O2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

geomagnetic storm             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Geomagnetic_storm     

electron cooling              0.9999999997573923^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron_cooling      

electron                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron              

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

O2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

SAR                           0.9671986833965229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Specific_absorption_rate

geomagnetic storm             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Geomagnetic_storm     

F-region                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/F_region              

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

electron                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron              

spectrum                      0.9124332770852915^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectrum              

eV                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electronvolt          

N2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

N2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

N2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

nitrogen                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

ions                          0.9999999999929514^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ion                   

electron                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron              

electron                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron              

electron density              0.9999999999326974^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron_density      

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

N2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

Southern Hemispheres          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Southern_Hemisphere   

depression                    0.9989222063464862^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tropical_cyclone      

O2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

(4S)                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Upsilon_meson         

O2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

Isis                          0.9948713686855788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isis                  

N2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

electron                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron              

airglow                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Airglow               

SAR                           0.9671986833965229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Specific_absorption_rate

IZMIRAN                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/IZMIRAN               

energy                        0.9999998061519096^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

IZMIRAN                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/IZMIRAN               

mathematical model            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mathematical_model    

satellite                     0.9999999627557379^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Satellite             

geomagnetic storm             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Geomagnetic_storm     

plasmasphere                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Plasmasphere          

(1S)                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Upsilon_meson         

SAR                           0.9671986833965229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Specific_absorption_rate

SAR                           0.9671986833965229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Specific_absorption_rate

O2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

O2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxygen                

N2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

ionosphere                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ionosphere            

2D                            0.999999926100375^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Cartesian_coordinate_system

