Abstract  Various kinds of precipitates can influence the mechanical properties of Ti-stabilized steels. The qualitative composition of the Ti inclusions can be characterized microscopically, whereas for quantitative information to be obtained time-consuming selective dissolution must be used. The present study aims at chemical speciation of the isolated precipitates as a solid phase with the help of soft-X-ray spectrometry. Whether the method is capable of giving both qualitative and quantitative information on the composition of Ti-mixtures is discussed. The precipitates in Ti-stabilized steels are investigated after chemical dissolution of the steel matrix with a bromine/methanol mixture (1:10). By combination of soft-X-ray spectrometry with X-ray fluorescence (XRF) and scanning electron microscopy (SEM) both qualitative and quantitative characterization of the precipitates can be performed. They were found to consist mainly of TiC and TiN.
inclusions          0.9616507340635578^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inclusion_body        

X-ray fluorescence            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_fluorescence    

scanning electron microscopy  0.9999962561057198^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scanning_electron_microscope

TiN                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Titanium_nitride      

matrix                        0.8731006987413238^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Matrix_(chemical_analysis)

spectrometry                  0.9999936440289815^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass_spectrometry     

SEM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scanning_electron_microscope

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

speciation                    0.9999999596185497^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Speciation            

spectrometry                  0.9999936440289815^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass_spectrometry     

bromine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bromine               

XRF                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_fluorescence    

steel                         0.9991928852569448^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Steel                 

TiC                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Titanium_carbide      

