Abstract We report on the interplay between creep and residual stresses in a carbopol microgel. When a constant shear stress σ is applied below the yield stress σ y, the strain is shown to increase as a power law of time, γ(t) = γ 0   (t/τ) α , with an exponent α = 0.39 ± 0.04 that is strongly reminiscent of Andrade creep in hard solids. For applied shear stresses lower than some typical value σ c ≃ 0.2σ y, the microgel experiences a more complex, anomalous creep behavior, characterized by an initial decrease of the strain, that we attribute to the existence of residual stresses of the order of σ c that persist after a rest time under a zero shear rate following preshear. The influence of gel concentration on creep and residual stresses are investigated as well as possible aging effects. We discuss our results in light of previous works on colloidal glasses and other soft glassy systems.
yield stress        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Yield_(engineering)   

creep                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Creep_(deformation)   

interplay                     0.9999875797532762^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interplay_Entertainment

creep                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Creep_(deformation)   

gel                           0.9999999215053808^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gel                   

exponent                      0.9999915475254075^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Exponentiation        

strain                        0.9999660715719613^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deformation_(mechanics)

creep                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Creep_(deformation)   

strain                        0.9999660715719613^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deformation_(mechanics)

residual stresses             0.9999951780812647^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stress_(mechanics)    

glassy                        0.9999876889953131^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amorphous_solid       

creep                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Creep_(deformation)   

solids                        0.9978512295141613^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solid                 

power law                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Power_law             

shear stress                  0.9970983593722411^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shear_stress          

shear stresses                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Shear_stress          

glasses                       0.9999999996782662^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Glass                 

residual stresses             0.9999951780812647^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stress_(mechanics)    

shear rate                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Shear_rate            

concentration                 0.9999999552720747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Concentration         

light                         0.5426473279806734^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Speed_of_light        

residual stresses             0.9999951780812647^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stress_(mechanics)    

colloidal                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Colloid               

