Abstract An alternative formulation for isotropic rate-dependent finite plasticity is developed using the theory of material evolution. In this approach, the plastic-like evolution is assumed to be volume preserving and be driven by the thermodynamically dual Mandel stress, which is also known as material or configurational stress. Restrictions on the evolution laws and the yield criteria are established based on the second law of thermodynamics and rational. A simple isotropic plastic-like evolution law and yield criteria are proposed to complete the model. It is demonstrated that these simple laws render perfect, hardening or softening plastic-like responses and are rate dependent.
plasticity          0.9999999999459988^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plasticity_(physics)  

stress                        0.947564096694011^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Stress_(mechanics)    

evolution                     0.9999998633064799^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

evolution                     0.9999998633064799^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

stress                        0.947564096694011^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Stress_(mechanics)    

evolution                     0.9999998633064799^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

isotropic                     0.9986975404375755^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isotropy              

evolution                     0.9999998633064799^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

thermodynamics                0.9969083847012432^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thermodynamics        

isotropic                     0.9986975404375755^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isotropy              

