Abstract We examined the relationship between the ability of bird species to persist in fragmented forests and their ability to colonize new forest habitat. Using a long-term data set on the colonization of a forest plantation, we tested the hypothesis that bird species tolerant to habitat fragmentation would detect and colonize the new habitat faster than intolerant species. The forest plantation under study is situated on an area of land reclaimed from the sea (a polder) in the central part of The Netherlands. We constructed an index of tolerance to habitat fragmentation and included it as a predictor variable in a set of three logistic regression models that compared the probability of colonization over four consecutive time periods. After controlling statistically for the effects of regional incidence, preferred habitat and life-history characteristics, there was a significant effect of tolerance to fragmentation on the ability of species to colonize the plantation, and a marginal effect on the timing of colonization. We then examined the effect of the same index of tolerance to fragmentation on colonization patterns over a larger spatial scale. Multivariate regression models showed that the proportion of three polders of different ages occupied by forest bird species was dependent upon the regional incidence of a species, its preferred habitat and its tolerance to fragmentation. The results support the hypothesis that species tolerant to habitat fragmentation detect and colonize new habitat faster than those intolerant to habitat fragmentation.
regression          0.9993935161003041^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Regression_analysis   

habitat fragmentation         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Habitat_fragmentation 

probability                   0.7914676628490303^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Poisson_distribution  

incidence                     0.9999884896569361^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Incidence_(epidemiology)

bird                          0.9998944996493863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

sea                           0.9126658699736577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sea                   

habitat                       0.9998268179631987^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

plantation                    0.9999998881575101^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plantation            

logistic regression           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Logistic_regression   

habitat                       0.9998268179631987^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

plantation                    0.9999998881575101^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plantation            

habitat                       0.9998268179631987^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

The Netherlands               0.9999994578103375^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Netherlands           

habitat fragmentation         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Habitat_fragmentation 

bird                          0.9998944996493863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

habitat                       0.9998268179631987^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

polders                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polder                

incidence                     0.9999884896569361^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Incidence_(epidemiology)

bird                          0.9998944996493863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

plantation                    0.9999998881575101^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plantation            

habitat fragmentation         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Habitat_fragmentation 

habitat                       0.9998268179631987^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

habitat fragmentation         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Habitat_fragmentation 

polder                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polder                

