Abstract It is expected that climate warming will be experienced through increases in the magnitude and frequency of extreme events, including droughts. This paper presents an analysis of observed changes and future projections for meteorological drought for four different time scales (1 month, and 3, 6 and 12 months) in the Beijiang River basin, South China, on the basis of the standardized precipitation evapotranspiration index (SPEI). Observed changes in meteorological drought were analysed at 24 meteorological stations from 1969 to 2011. Future meteorological drought was projected based on the representative concentration pathway (RCP) scenarios RCP4.5 and RCP8.5, as projected by the regional climate model RegCM4.0. The statistical significance of the meteorological drought trends was checked with the Mann–Kendall method. The results show that drought has become more intense and more frequent in most parts of the study region during the past 43 years, mainly owing to a decrease in precipitation. Furthermore, long-term dryness is expected to be more pronounced than short-term dryness. Validation of the model simulation indicates that RegCM4.0 provides a good simulation of the characteristic values of SPEIs. During the twenty first century, significant drying trends are projected for most parts of the study region, especially in the southern part of the basin. Furthermore, the drying trends for RCP8.5 (or for long time scales) are more pronounced than for RCP4.5 (or for short time scales). Compared to the baseline period 1971–2000, the frequency of drought for RCP4.5 (RCP8.5) tends to increase (decrease) in 2021–2050 and decrease (increase) in 2051–2080. The results of this paper will be helpful for efficient water resources management in the Beijiang River basin under climate warming.
South China         0.9192219527363491^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/China                 

meteorological                0.9969249162422791^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meteorology           

drought                       0.9999954517625134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

drought                       0.9999954517625134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

Beijiang River                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bei_River             

precipitation                 0.9999999986936245^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

RCP                           0.9872745498050515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Representative_Concentration_Pathways

drought                       0.9999954517625134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

drought                       0.9999954517625134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

basin                         0.9999966958956763^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drainage_basin        

statistical significance      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Statistical_significance

meteorological                0.9969249162422791^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meteorology           

simulation                    0.9999971436651415^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computer_simulation   

basin                         0.9999966958956763^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drainage_basin        

simulation                    0.9999971436651415^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computer_simulation   

meteorological                0.9969249162422791^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meteorology           

climate model                 0.9969656707790285^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate_model         

magnitude                     0.9635990878241806^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Richter_magnitude_scale

Beijiang River                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bei_River             

evapotranspiration            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Evapotranspiration    

droughts                      0.9999999988416448^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

meteorological                0.9969249162422791^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meteorology           

drought                       0.9999954517625134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

basin                         0.9999966958956763^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drainage_basin        

drought                       0.9999954517625134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

meteorological                0.9969249162422791^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meteorology           

precipitation                 0.9999999986936245^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

