Abstract This study aims primarily at investigating the relationships between Rwandan seasonal rainfall anomalies and El Niño-South Oscillation phenomenon (ENSO) events. The study is useful for early warning of negative effects associated with extreme rainfall anomalies across the country. It covers the period 1935–1992, using long and short rains data from 28 weather stations in Rwanda and ENSO events resourced from Glantz (2001). The mean standardized anomaly indices were calculated to investigate their associations with ENSO events. One-way analysis of variance was applied on the mean standardized anomaly index values per ENSO event to explore the spatial correlation of rainfall anomalies per ENSO event. A geographical information system was used to present spatially the variations in mean standardized anomaly indices per ENSO event. The results showed approximately three climatic periods, namely, dry period (1935–1960), semi-humid period (1961–1976) and wet period (1977–1992). Though positive and negative correlations were detected between extreme short rains anomalies and El Niño events, La Niña events were mostly linked to negative rainfall anomalies while El Niño events were associated with positive rainfall anomalies. The occurrence of El Niño and La Niña in the same year does not show any clear association with rainfall anomalies. However, the phenomenon was more linked with positive long rains anomalies and negative short rains anomalies. The normal years were largely linked with negative long rains anomalies and positive short rains anomalies, which is a pointer to the influence of other factors other than ENSO events. This makes projection of seasonal rainfall anomalies in the country by merely predicting ENSO events difficult.
Rwandan             0.9999999565714015^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rwanda                

ENSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

ENSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

spatial correlation           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Spatial_correlation   

ENSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

El Niño                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

ENSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

ENSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

ENSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

pointer                       0.9999514571518293^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pointer_(computer_programming)

ENSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

La Niña                       0.9927945645646673^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/El_Niño–Southern_Oscillation

ENSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

variance                      0.9999714362683535^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Variance              

weather stations              0.9999999999976126^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Weather_station       

Rwanda                        0.9183552785186987^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rwanda                

The normal years              0.9999999999961346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/The_Normal_Years      

La Niña                       0.9927945645646673^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/El_Niño–Southern_Oscillation

El Niño                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

El Niño                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/El_Niño–Southern_Oscillation

