Abstract We describe a simple method for the synthesis of highly magnetic and fluorescent bifunctional chitosan nanoparticles (MF-CSNPs). Water-soluble and magnetic Fe3O4-chitosan nanoparticles and CdSe quantum dots capped with thioglycolic acid were incorporated into a chitosan matrix via electrostatic interaction. The optical, magnetic, crystallographic and morphological properties of the new nanoparticles were studied by UV-visible, fluorescence, X-ray diffraction and transmission electron microscopy. In addition, MF-CSNPs are found to be a useful probe for the determination of copper ion which acts as a quencher of fluorescence. The relative fluorescence intensity of MF-CSNPs is linearly related to the concentration of copper ion in the 0.125 to 25 ng·mL-1 concentration range. The MF-CSNPs also are found to adsorb copper ion which therefore can be separated and enriched by manipulating them with an external magnetic field. Before enrichment, the limit of detection (LOD) for copper ion is 120 pg·mL-1, but after enrichment, the LOD is 46 pg·mL-1. FigureHigh magnetic and fluorescent bifunctional chitosan nanoparticles (MF-CSNPs) have been successfully synthesized via electrostatic interaction. MF-CSNPs are shown to represent a quenchable fluorescent probe for the detection of copper ion in water solution.
water               0.9988398027705783^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

concentration                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Concentration         

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

nanoparticles                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanoparticle          

fluorescence                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fluorescence          

capped                        0.5645390237874035^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Five_prime_cap        

electrostatic interaction     0.9668539258657686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coulomb's_law         

LOD                           0.9999992169910793^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Genetic_linkage       

transmission electron microscopy1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transmission_electron_microscopy

magnetic                      0.9680844418225597^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ferromagnetism        

