Abstract  An open mind is essential for the implementation and improvement of total quality management. Leadership, as such, is of no value without a vision concerning corporate culture and human resources. Therefore, constant communication between partners within a corporate body is the cornerstone for empowerment. The evaluation of ideas and complaints is considered to be essential for the identification of strengths and weaknesses of a system, whereas, competition and benchmarking may reveal surprising opportunities for improvement. We discuss the idea that customer-oriented efficiency in a hospital environment may be classified as a critical success factor.
benchmarking        0.9999999991420054^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Benchmarking          

corporate body                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Legal_personality     

empowerment                   0.9999999999897113^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Empowerment           

total quality management      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Total_quality_management

communication                 0.9999932410549852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communication         

hospital                      0.9999999708644514^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hospital              

critical success factor       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Critical_success_factor

human resources               0.9997638530682962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_resources       

corporate culture             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Organizational_culture

cornerstone                   0.9999928908741^^http://www.w3.org/2001/XMLSchema#double              http://dbpedia.org/resource/Cornerstone           

