Abstract The potential ways in which learning a second or third language can influence other languages in the mind of the (emergent) bilingual is an increasingly important issue given the international importance of foreign language learning. This study explored whether learning French as a foreign language influences knowledge of English morphosyntax in learners of L2 French with L1 English (n=21) and learners of L3 French with L2 English (n=9). Comparing these two groups allowed us to identify whether and to what extent backwards cross linguistic influence (CLI) are different depending on whether French is L2 or L3, and whether English is L1 or L2. Accuracy on tenseaspects of English morphosyntax was measured through two tasks (Grammaticality Judgement and Proofreading). Results indicated no inhibitive influence from L2 French to L1 English, with potential enhancement of explicit knowledge when compared to a control group of English-speaking participants with no French. In contrast, influence leading to inaccuracy was observed from L3 French to L2 English in that the L3 French learners made more errors in past simple and present perfect in the GJT. Results are discussed in the context of better understanding the nature of developing grammatical systems, together with implications for future work.
foreign language    0.9994022173498891^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Language_acquisition  

L1                            0.9999761464057999^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/First_language        

French                        0.9999992572250479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

explicit knowledge            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Explicit_knowledge    

French                        0.9999992572250479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

French                        0.9999992572250479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

French                        0.9999992572250479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

French                        0.9999992572250479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

English                       0.9999990612885625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

L2                            0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Second_language       

L2                            0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Second_language       

grammatical systems           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Grammar               

linguistic                    0.8678092767058945^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Linguistics           

English                       0.9999990612885625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

L2                            0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Second_language       

L2                            0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Second_language       

English                       0.9999990612885625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

L3                            0.8870313020954491^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lagrangian_point      

CLI                           0.9999804126054418^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Command-line_interface

L2                            0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Second_language       

control group                 0.9998171081378021^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Treatment_and_control_groups

English                       0.9999990612885625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

French                        0.9999992572250479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

bilingual                     0.9988167784113139^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Multilingualism       

emergent                      0.9999440845844166^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Emergence             

foreign language learning     0.9999750903957627^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Language_acquisition  

L2                            0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Second_language       

L3                            0.8870313020954491^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lagrangian_point      

English                       0.9999990612885625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

L3                            0.8870313020954491^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lagrangian_point      

morphosyntax                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Morphology_(linguistics)

morphosyntax                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Morphology_(linguistics)

L3                            0.8870313020954491^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lagrangian_point      

L1                            0.9999761464057999^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/First_language        

language                      0.8792451212094262^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Language              

French                        0.9999992572250479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

French                        0.9999992572250479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/French_language       

L1                            0.9999761464057999^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/First_language        

English                       0.9999990612885625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

English                       0.9999990612885625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

