Abstract  Mask-making process by laser direct-write has been broadly applied in the microelectronics and the PC board industries. In this paper, we report the thick-film lithography of laser write mainly for the X-ray mask in the LIGA application. Several schemes of multiple writing are successfully demonstrated in terms of the sidewall straightness and free from intensity fluctuation of laser light. Present study adopts the applications of the positive resist of AZ P4620 prepared with a thickness of 30 μm, anti-reflection coating of AZ BARLi II on the substrate, and intensity filler to achieve smooth and straight sidewalls.
AZ                  0.6333043322241952^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/AZ_(football_club)    

μm                            0.9999717873499443^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Micrometre            

microelectronics              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microelectronics      

PC board                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Printed_circuit_board 

laser                         0.9999975667894931^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Laser                 

lithography                   0.9999999862193932^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photolithography      

laser                         0.9999975667894931^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Laser                 

LIGA                          0.9999999999988631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/LIGA                  

AZ                            0.6333043322241952^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/AZ_(football_club)    

X-ray                         0.9998825498247238^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/X-ray                 

laser                         0.9999975667894931^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Laser                 

anti-reflection coating       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anti-reflective_coating

