Abstract Digital libraries can be deployed at many points throughout the life cycles of scientific research projects from their inception through data collection, analysis, documentation, publication, curation, preservation, and stewardship. Requirements for digital libraries to manage research data vary along many dimensions, including life cycle, scale, research domain, and types and degrees of openness. This article addresses the role of digital libraries in knowledge infrastructures for science, presenting evidence from long-term studies of four research sites. Findings are based on interviews ($$n=208$$ n=208 ), ethnographic fieldwork, document analysis, and historical archival research about scientific data practices, conducted over the course of more than a decade. The Transformation of Knowledge, Culture, and Practice in Data-Driven Science: A Knowledge Infrastructures Perspective project is based on a 2 $$\\times $$ ×  2 design, comparing two “big science” astronomy sites with two “little science” sites that span physical sciences, life sciences, and engineering, and on dimensions of project scale and temporal stage of life cycle. The two astronomy sites invested in digital libraries for data management as part of their initial research design, whereas the smaller sites made smaller investments at later stages. Role specialization varies along the same lines, with the larger projects investing in information professionals, and smaller teams carrying out their own activities internally. Sites making the largest investments in digital libraries appear to view their datasets as their primary scientific legacy, while other sites stake their legacy elsewhere. Those investing in digital libraries are more concerned with the release and reuse of data; types and degrees of openness vary accordingly. The need for expertise in digital libraries, data science, and data stewardship is apparent throughout all four sites. Examples are presented of the challenges in designing digital libraries and knowledge infrastructures to manage and steward research data.
astronomy           0.9999999479889552^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Astronomy             

digital libraries             0.9999999745753033^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_library       

digital libraries             0.9999999745753033^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_library       

stewardship                   0.9999958883620765^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stewardship           

life cycle                    0.9885402233733672^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_development_process

life sciences                 0.9986611792067644^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Life_sciences         

digital libraries             0.9999999745753033^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_library       

life cycles                   0.7878678462567351^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Product_lifecycle_management

ethnographic                  0.9999994874093722^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ethnography           

fieldwork                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Field_research        

stewardship                   0.9999958883620765^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stewardship           

steward                       0.9999556412838357^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stewardship           

digital libraries             0.9999999745753033^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_library       

document analysis             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Questioned_document_examination

digital libraries             0.9999999745753033^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_library       

physical sciences             0.9781643625772698^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Outline_of_physical_science

digital libraries             0.9999999745753033^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_library       

science                       0.996358787336585^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Science               

digital libraries             0.9999999745753033^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_library       

curation                      0.9915436193131012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_curation      

datasets                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Data_set              

historical                    0.9937729281879404^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/History               

science                       0.996358787336585^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Science               

temporal                      0.9999998169110026^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Time                  

domain                        0.9607965006932263^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Domain_name           

data management               0.9997811485806468^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Data_management       

Digital libraries             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Digital_library       

big science                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Big_Science           

data science                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Data_science          

astronomy                     0.9999999479889552^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Astronomy             

life cycle                    0.9885402233733672^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_development_process

