Abstract ObjectivesMaxillary incisors (MI) are often affected by dentoalveolar injury resulting in tooth devitalization and apical periodontitis. The aim of the present study was to analyze any association between a history of dentoalveolar injury and the shape and size of the nasopalatine canal (NC) using cone beam computed tomography (CBCT). Material and methodsPatients were allocated to the trauma group if they had a history of dentoalveolar injury and a root filling in at least one MI and/or one missing MI. As controls, 100 matched-controlled (age and gender) patients were selected. NC dimensions including length, width at midway, and diameter of incisal and nasal foramen were measured in sagittal and axial CBCT planes. Furthermore, an evaluation of NC bulging signs, apical osteolysis of MI, and its fusion with NC was performed. ResultsIn the trauma group (n = 96), 31.3 �ad at least one missing MI, and 95.8 �ad a root filling in a MI. The antero-posterior dimension of the incisive foramen (p = 0.02) and of the NC at midway (p = 0.04) was significantly larger in the trauma group. Significantly more cases with a bulging sign were found in the trauma (n = 19) than in the control group (n = 3, p = 0.001). An apical osteolysis was identified in 5.1 �f MI, and 12/38 did show a fusion with the NC. ConclusionWider dimensions of the NC and a bulging sign may suggest a former dentoalveolar injury to the anterior maxilla. Periapical osteolysis of central MI over 5 mm in diameter tends to fuse with the NC. Clinical relevanceIn patients with a history of dentoalveolar injury and/or apical periodontitis, the NC should be evaluated on available CBCT images. Any inflammatory processes in the neighboring teeth should be recognized and eliminated as they may initiate bulging of the NC and/or the formation of a nasopalatine duct cyst (NPDC). NC with bulging signs should be monitored clinically and radiographically to diagnose a NPDC in an early stage.
gender              0.9999795648951273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gender                

MI                            0.9985074920947189^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myocardial_infarction 

trauma                        0.9997525599521581^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Trauma_(medicine)     

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

osteolysis                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Osteolysis            

sagittal                      0.9999999998401563^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anatomical_terms_of_location

MI                            0.9985074920947189^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myocardial_infarction 

trauma                        0.9997525599521581^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Trauma_(medicine)     

foramen                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Foramen               

incisal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Commonly_used_terms_of_relationship_and_comparison_in_dentistry

osteolysis                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Osteolysis            

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

MI                            0.9985074920947189^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myocardial_infarction 

MI                            0.9985074920947189^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myocardial_infarction 

CBCT                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cone_beam_computed_tomography

CBCT                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cone_beam_computed_tomography

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

MI                            0.9985074920947189^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myocardial_infarction 

maxilla                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Maxilla               

MI                            0.9985074920947189^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myocardial_infarction 

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

incisive foramen              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Incisive_foramen      

MI                            0.9985074920947189^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myocardial_infarction 

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

CBCT                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cone_beam_computed_tomography

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

nasopalatine duct cyst        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nasopalatine_duct_cyst

nasopalatine                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nasopalatine_nerve    

NC                            0.9997827616044747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_control     

trauma                        0.9997525599521581^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Trauma_(medicine)     

incisors                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Incisor               

computed tomography           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_computed_tomography

MI                            0.9985074920947189^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myocardial_infarction 

