Summary. Metal or metal oxide nanoparticles possess unique features compared to equivalent larger-scale materials. For applications, it is often necessary to stabilize or functionalize such nanoparticles. Thus, modification of the surface of nanoparticles is an important chemical challenge. In this survey, various possibilities are discussed how nanoparticles can be protected by organic ligands and how these ligands can be used to introduce functionalities. The preparative possibilities include grafting of an already functionalized ligand on the nanoparticle surface, exchanging part or all existing ligands on the nanoparticle surface, or grafting of a ligand on a nanoparticle followed by modification by organic chemical reactions.
organic             0.7436810250180496^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Organic_compound      

nanoparticle                  0.9999999999835154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanoparticle          

organic chemical              0.6261927879921184^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Organic_compound      

ligand                        0.999999408322883^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ligand                

chemical                      0.9825311531581976^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_compound     

nanoparticle                  0.9999999999835154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanoparticle          

grafting                      0.9982730707944224^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Grafting              

nanoparticles                 0.9999999999490683^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanoparticle          

ligands                       0.9999998685954752^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ligand                

chemical reactions            0.9028287904325801^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrochemistry      

nanoparticles                 0.9999999999490683^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanoparticle          

metal oxide                   0.9999999984203782^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oxide                 

ligands                       0.9999998685954752^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ligand                

ligands                       0.9999998685954752^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ligand                

nanoparticle                  0.9999999999835154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanoparticle          

nanoparticles                 0.9999999999490683^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanoparticle          

grafting                      0.9982730707944224^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Grafting              

nanoparticles                 0.9999999999490683^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanoparticle          

ligand                        0.999999408322883^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ligand                

