Abstract Photonic crystal nanocavities, which can be used to localize electromagnetic fields in a low refractive index region, hold great promise in fabricating micromechanical sensors for their potential applications in physical, chemical and biological engineering. In this paper, effects of optical and material properties on the performance of three different types of photonic crystal based mechanical sensors, i.e., force, displacement, and strain sensors, are investigated. The microcantilevers of sensors are made in Si and Si/SiO2 and exhibited in air and water atmosphere. As we found, both the resonant wavelength and the resonant wavelength shift for microcantilever mechanical sensors exhibit a linear relationship to the signal detection parameters (i.e., force, displacement, and strain) both in air and water. The sensitivity of force and strain sensors operated in water is higher than that in air. Si/SiO2 bilayer microcantilever sensor shows a higher sensitivity in force detection, whereas the Si cantilever sensor shows a higher sensitivity in strain and vertical displacement detection. The optical, material and mechanical properties of sensor material have great effect on the sensitivity of the new photonic crystal based microcantilever mechanical sensor.
biological engineering1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Biological_engineering

bilayer                       0.9999999940152975^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lipid_bilayer         

optical                       0.7604035819747059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optics                

photonic crystal              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photonic_crystal      

sensors                       0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

strain                        0.9999999999980673^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deformation_(mechanics)

sensor                        0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

displacement                  0.9999999865002566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Displacement_(vector) 

sensors                       0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

sensor                        0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

resonant                      0.9999995917422363^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Resonance             

region                        0.9982045849526341^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Region                

linear                        0.9999999999979536^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Linearity             

optical                       0.7604035819747059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optics                

strain                        0.9999999999980673^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deformation_(mechanics)

water                         0.9200684854431244^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

sensitivity                   0.9825066547371752^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensitivity_(electronics)

displacement                  0.9999999865002566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Displacement_(vector) 

sensor                        0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

