Abstract Composite materials were synthesized by encapsulating Au and Ag nanoparticles in an agar gel matrix. These metallic nano-particles were found to be separately stored, so their optical, catalytic, and antibacterial properties were retained both in the composite gel and a composite membrane. The composite gels were stable under hard external conditions. Based on this, a sensor for the detection of Hg2  was developed using the Au nanoparticle/agar composite gel. Antibacterial materials were achieved using the Ag nanoparticle/agar composite gel and composite membrane. These two Ag nanoparticle-based materials showed good antibacterial activity against Gram-negative Escherichia coli and Gram-positive Staphylococcus aureus.
Escherichia coli    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Escherichia_coli      

optical                       0.9307546939315711^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optics                

composite                     0.9999952655372889^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Composite_material    

gel                           0.9999999730951007^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gel                   

Staphylococcus aureus         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Staphylococcus_aureus 

synthesized                   0.9992974937906495^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_synthesis    

sensor                        0.9999997437933859^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

composite                     0.9999952655372889^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Composite_material    

gel                           0.9999999730951007^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gel                   

gels                          0.9999999977969196^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gel                   

nanoparticle                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanoparticle          

composite                     0.9999952655372889^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Composite_material    

agar                          0.9999944290015603^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agar                  

Gram-negative                 0.9999980054046201^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gram-negative_bacteria

stable                        0.9583163264545176^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stable_isotope        

nanoparticles                 0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanoparticle          

composite                     0.9999952655372889^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Composite_material    

gel                           0.9999999730951007^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gel                   

catalytic                     0.9995106343043368^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Catalysis             

membrane                      0.9816790599925184^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_membrane         

matrix                        0.6260369762815213^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Composite_material    

Gram-positive                 0.9973203583769277^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gram-positive_bacteria

Composite materials           0.9999997595468533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Composite_material    

agar                          0.9999944290015603^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agar                  

Antibacterial                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Antibacterial         

membrane                      0.9816790599925184^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_membrane         

composite                     0.9999952655372889^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Composite_material    

nanoparticle                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanoparticle          

antibacterial                 0.9351922975850919^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antibacterial         

agar                          0.9999944290015603^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agar                  

gel                           0.9999999730951007^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gel                   

antibacterial                 0.9351922975850919^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antibacterial         

composite                     0.9999952655372889^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Composite_material    

