Abstract  The pharmaceutical industry is one of the most regulated activity sectors. The regulation includes specific quality systems such as good laboratory practice (GLP), good clinical practice (GCP) and good manufacture practice (GMP). The principles of GLP mainly cover the formal quality aspects of a procedure and do not evaluate the technical aspects in depth. On the other hand, EN 45001 accreditation covers technical performance and is not suitable for pharmaceutical research and development (R
GMP                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Good_manufacturing_practice

pharmaceutical                0.9612354385674883^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pharmaceutical_industry

good laboratory practice      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Good_Laboratory_Practice

GLP                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Good_Laboratory_Practice

GLP                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Good_Laboratory_Practice

good clinical practice (GCP)  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Good_Clinical_Practice

accreditation                 0.9958104684315316^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Accreditation         

EN                            0.9999999869344266^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_Committee_for_Standardization

pharmaceutical industry       0.9997235198621554^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pharmaceutical_industry

