Abstract It is not uncommon in the data anonymization literature to oppose the “old” $$k$$ k -anonymity model to the “new” differential privacy model, which offers more robust privacy guarantees. Yet, it is often disregarded that the utility of the anonymized results provided by differential privacy is quite limited, due to the amount of noise that needs to be added to the output, or because utility can only be guaranteed for a restricted type of queries. This is in contrast with $$k$$ k -anonymity mechanisms, which make no assumptions on the uses of anonymized data while focusing on preserving data utility from a general perspective. In this paper, we show that a synergy between differential privacy and $$k$$ k -anonymity can be found: $$k$$ k -anonymity can help improving the utility of differentially private responses to arbitrary queries. We devote special attention to the utility improvement of differentially private published data sets. Specifically, we show that the amount of noise required to fulfill $$\\varepsilon $$ ε -differential privacy can be reduced if noise is added to a $$k$$ k -anonymous version of the data set, where $$k$$ k -anonymity is reached through a specially designed microaggregation of all attributes. As a result of noise reduction, the general analytical utility of the anonymized output is increased. The theoretical benefits of our proposal are illustrated in a practical setting with an empirical evaluation on three data sets.
data set            0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Data_set              

noise                         0.9743145634908043^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Noise                 

differential privacy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Differential_privacy  

utility                       0.9999999999957936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Utility               

noise                         0.9743145634908043^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Noise                 

synergy                       0.9999996955919422^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Synergy               

anonymity                     0.9999999986149533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anonymity             

noise reduction               0.9979857491284416^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Noise_reduction       

noise                         0.9743145634908043^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Noise                 

anonymity                     0.9999999986149533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anonymity             

privacy                       0.9999997106819328^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Privacy               

differential privacy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Differential_privacy  

anonymization                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anonymity             

utility                       0.9999999999957936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Utility               

empirical                     0.9998699480391752^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Empirical_evidence    

utility                       0.9999999999957936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Utility               

anonymity                     0.9999999986149533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anonymity             

utility                       0.9999999999957936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Utility               

utility                       0.9999999999957936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Utility               

utility                       0.9999999999957936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Utility               

data sets                     0.9999999999985221^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Data_set              

differential privacy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Differential_privacy  

anonymity                     0.9999999986149533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anonymity             

differential privacy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Differential_privacy  

literature                    0.9999670744306283^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Literature            

data sets                     0.9999999999985221^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Data_set              

anonymity                     0.9999999986149533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anonymity             

