Abstract. By taking samples along individual branches and measuring leaf size, thickness and Na+ and K+ concentrations, we have shown in Bruguiera cylindrica, Avicennia rumphiana and Avicennia marina that there are two phases of salt accumulation by leaves. This is confirmed by re-analysis of published data for other species. The first phase is a rapid increase in leaf content as it grows from bud to maturity; the second is a slower but continuous change in quantity in the leaf, via changes in ion concentration and/or in leaf thickening. Leaf thickening must not be overlooked in estimating changes in leaf contents with age. Generally, leaf Na+ content increases significantly, and K+ content falls slightly. Mangrove leaves thus continue as sinks for Na+ throughout their lifetime. At the end of a leaf's life, just before abscission, no burst of salt accumulation has been found. Yellow, senescent leaves do not have higher Na+ than old green ones. We point out that leaf drop involves losing both salt and biomass, not just salt, and hence does not reduce the salt concentration in the plant. We conclude that leaf drop is not a salt excretion mechanism, but is simply the point in time at which the leaf ceases to accumulate salt. Using a simple model, the contribution to salt accumulation of slowly accumulated Na+ by mature leaves has been calculated. For B. cylindrica, the most extensively studied species, 60% of the salt in the leaf is accumulated slowly in the mature phase, thus more than during the initial phase of rapid expansion growth. The limited data suggest that gland-bearing species show smaller changes in mature leaf Na+ content than do gland-less species.
biomass             0.9996268312460208^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biomass               

leaf                          0.999999902811742^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

Avicennia marina              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Avicennia_marina      

species                       0.9940967444018111^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

leaves                        0.9999999999196234^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Leaf                  

ion                           0.9999999999931788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ion                   

leaf                          0.999999902811742^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

Na+                           0.9999998471580628^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sodium                

leaf                          0.999999902811742^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

Bruguiera cylindrica          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bruguiera_cylindrica  

Na+                           0.9999998471580628^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sodium                

Na+                           0.9999998471580628^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sodium                

plant                         0.9999996752507586^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant                 

Na+                           0.9999998471580628^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sodium                

leaf                          0.999999902811742^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

salt                          0.989153656034609^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Seawater              

samples                       0.7257384251469764^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sample_(statistics)   

Na+                           0.9999998471580628^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sodium                

leaf                          0.999999902811742^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

salt                          0.989153656034609^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Seawater              

senescent                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Senescence            

Na+                           0.9999998471580628^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sodium                

bud                           0.9999994751102818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bud                   

species                       0.9940967444018111^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

excretion                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Excretion             

concentration                 0.9999999982841246^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Concentration         

leaf                          0.999999902811742^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

leaf                          0.999999902811742^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

K+                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Potassium             

